"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"ACESAC06_HF_03","ACESAC","06","ACESAC06","03","chill1","time2","1_2",35,3,5
"QUERUBX3_HF_11","QUERUB","X3","QUERUBX3","11","chill1","time2","1_2",36,4,5
"ACESAC07_HF_08","ACESAC","07","ACESAC07","08","chill1","time2","1_2",36,4,5
"BETALL20_HF_02","BETALL","20","BETALL20","02","chill1","time2","1_2",36,4,5
"ILEMUCX1_HF_07","ILEMUC","X1","ILEMUCX1","07","chill1","time3","1_3",37,5,5
"ACESAC05_HF_08","ACESAC","05","ACESAC05","08","chill1","time2","1_2",37,5,5
"QUERUBX4_HF_04","QUERUB","X4","QUERUBX4","04","chill1","time3","1_3",37,5,5
"QUERUB19_HF_12","QUERUB","19","QUERUB19","12","chill1","time2","1_2",38,6,5
"BETALL18_HF_01","BETALL","18","BETALL18","01","chill1","time3","1_3",38,6,5
"FAGGRA13_HF_10","FAGGRA","13","FAGGRA13","10","chill1","time1","1_1",38,6,5
"FAGGRAX3_HF_04","FAGGRA","X3","FAGGRAX3","04","chill1","time1","1_1",39,7,5
"ACESAC07_HF_02","ACESAC","07","ACESAC07","02","chill1","time3","1_3",39,7,5
"BETALL19_HF_12","BETALL","19","BETALL19","12","chill1","time1","1_1",39,7,5
"QUERUB22_HF_06","QUERUB","22","QUERUB22","06","chill1","time2","1_2",40,8,5
"VIBCAS02_HF_09","VIBCAS","02","VIBCAS02","09","chill1","time3","1_3",40,8,5
"HAMVIRX1_HF_03","HAMVIR","X1","HAMVIRX1","03","chill1","time1","1_1",40,8,5
"ILEMUC07_HF_04","ILEMUC","07","ILEMUC07","04","chill1","time1","1_1",41,1,6
"HAMVIRX3_HF_06","HAMVIR","X3","HAMVIRX3","06","chill1","time1","1_1",41,1,6
"FAGGRA09_HF_04","FAGGRA","09","FAGGRA09","04","chill1","time1","1_1",41,1,6
"QUERUB22_HF_10","QUERUB","22","QUERUB22","10","chill1","time3","1_3",42,2,6
"ILEMUCX5_HF_04","ILEMUC","X5","ILEMUCX5","04","chill1","time3","1_3",42,2,6
"HAMVIRX2_HF_04","HAMVIR","X2","HAMVIRX2","04","chill1","time1","1_1",42,2,6
"ACESAC09_HF_03","ACESAC","09","ACESAC09","03","chill1","time1","1_1",43,3,6
"FAGGRA09_HF_07","FAGGRA","09","FAGGRA09","07","chill1","time2","1_2",43,3,6
"ILEMUCX4_HF_12","ILEMUC","X4","ILEMUCX4","12","chill1","time3","1_3",43,3,6
"HAMVIRX4_HF_10","HAMVIR","X4","HAMVIRX4","10","chill1","time2","1_2",44,4,6
"BETALLX1_HF_02","BETALL","X1","BETALLX1","02","chill1","time1","1_1",44,4,6
"FAGGRAX1_HF_09","FAGGRA","X1","FAGGRAX1","09","chill1","time1","1_1",44,4,6
"ACESACX3_HF_03","ACESAC","X3","ACESACX3","03","chill1","time3","1_3",45,5,6
"QUERUBX5_HF_07","QUERUB","X5","QUERUBX5","07","chill1","time3","1_3",45,5,6
"FAGGRA02_HF_07","FAGGRA","02","FAGGRA02","07","chill1","time1","1_1",45,5,6
"ACESACX1_HF_07","ACESAC","X1","ACESACX1","07","chill1","time1","1_1",46,6,6
"ILEMUC03_HF_09","ILEMUC","03","ILEMUC03","09","chill1","time1","1_1",46,6,6
"ILEMUC08_HF_10","ILEMUC","08","ILEMUC08","10","chill1","time3","1_3",46,6,6
"QUERUB21_HF_12","QUERUB","21","QUERUB21","12","chill1","time3","1_3",47,7,6
"ACESAC09_HF_02","ACESAC","09","ACESAC09","02","chill1","time2","1_2",47,7,6
"BETALL19_HF_08","BETALL","19","BETALL19","08","chill1","time3","1_3",47,7,6
"ACESACX1_HF_04","ACESAC","X1","ACESACX1","04","chill1","time3","1_3",48,8,6
"QUERUB19_HF_02","QUERUB","19","QUERUB19","02","chill1","time1","1_1",48,8,6
"FAGGRA02_HF_02","FAGGRA","02","FAGGRA02","02","chill1","time3","1_3",48,8,6
"ILEMUCX1_HF_01","ILEMUC","X1","ILEMUCX1","01","chill1","time1","1_1",49,1,7
"BETALLX1_HF_03","BETALL","X1","BETALLX1","03","chill1","time3","1_3",49,1,7
"FAGGRAX2_HF_08","FAGGRA","X2","FAGGRAX2","08","chill1","time3","1_3",49,1,7
"QUERUBX5_HF_06","QUERUB","X5","QUERUBX5","06","chill1","time1","1_1",50,2,7
"VIBCAS02_HF_10","VIBCAS","02","VIBCAS02","10","chill1","time2","1_2",50,2,7
"FAGGRA03_HF_02","FAGGRA","03","FAGGRA03","02","chill1","time2","1_2",50,2,7
"FAGGRA10_HF_03","FAGGRA","10","FAGGRA10","03","chill1","time3","1_3",51,3,7
"BETALL18_HF_10","BETALL","18","BETALL18","10","chill1","time1","1_1",51,3,7
"ACESAC99_HF_03","ACESAC","99","ACESAC99","03","chill1","time3","1_3",51,3,7
"QUERUBX3_HF_05","QUERUB","X3","QUERUBX3","05","chill1","time3","1_3",52,4,7
"ILEMUCX2_HF_05","ILEMUC","X2","ILEMUCX2","05","chill1","time3","1_3",52,4,7
"HAMVIRX2_HF_02","HAMVIR","X2","HAMVIRX2","02","chill1","time2","1_2",52,4,7
