V1,V2,V3,V4
QUERUB21_07,ILEMUC07_11,FAGGRA03_07,8_3
HAMVIRX3_02,QUERUBX4_01,FAGGRAX2_02,8_1
VIBCAS01_07,BETALLX3_02,FAGGRAX2_01,8_3
ACESAC07_09,QUERUB19_10,FAGGRA10_08,8_1
ACESACX1_08,QUERUBX4_10,FAGGRA13_01,8_1
ILEMUCX1_08,HAMVIRX4_03,BETALL20_01,8_2
QUERUBX5_08,HAMVIRX2_08,FAGGRA09_02,8_1
BETALLX3_12,ILEMUC03_11,HAMVIRX8_12,8_3
ACESACX2_11,QUERUB22_11,FAGGRA09_09,8_1
QUERUBX5_04,HAMVIRX7_11,FAGGRAX1_05,8_2
QUERUB22_02,VIBCAS02_01,HAMVIRX3_09,8_3
ILEMUC03_01,HAMVIRX2_05,FAGGRA02_06,8_2
ACESAC99_05,HAMVIRX5_10,BETALLX1_05,8_2
HAMVIRX6_08,ACESAC09_11,QUERUBX4_09,8_2
ACESACX2_08,QUERUBX2_08,BETALL19_11,8_3
ILEMUCX4_05,HAMVIRX6_11,FAGGRAX3_10,8_3
QUERUB21_05,ACESAC06_05,HAMVIRX8_05,8_1
ACESACX1_12,ILEMUC07_06,FAGGRA10_04,8_3
VIBCAS08_10,BETALL17_05,FAGGRA10_09,8_2
ACESAC99_11,HAMVIRX1_02,BETALL20_09,8_1
ACESAC07_01,QUERUB21_08,ILEMUCX4_11,8_2
ACESACX3_08,BETALL16_08,VIBCAS02_06,8_3
ILEMUCX4_04,BETALL17_08,QUERUBX3_08,8_1
ACESACX3_05,QUERUB23_01,FAGGRAX3_02,8_2
QUERUBX3_07,HAMVIRX4_11,BETALL18_08,8_1
ILEMUCX1_06,VIBCASX5_09,BETALL16_11,8_1
QUERUBX3_03,ILEMUCX2_06,HAMVIRX7_04,8_2
QUERUB23_09,VIBCAS01_12,HAMVIRX1_06,8_3
ILEMUCX5_12,ILEMUC08_06,BETALL22_06,8_2
ACESAC99_07,ILEMUC07_03,HAMVIRX6_01,4_1
ACESACX2_05,HAMVIRX5_12,FAGGRA02_12,4_3
QUERUBX4_11,VIBCAS01_03,HAMVIRX6_07,4_2
BETALLX1_04,ACESACX1_03,QUERUB21_06,4_3
QUERUB23_10,HAMVIRX2_11,FAGGRA13_06,4_3
QUERUB21_09,ILEMUC08_03,FAGGRAX3_08,4_1
QUERUB19_07,ILEMUCX5_10,FAGGRAX1_02,4_2
ILEMUCX3_08,VIBCAS08_02,HAMVIRX8_10,4_1
ACESAC06_06,QUERUBX2_01,HAMVIRX1_07,4_2
QUERUBX4_12,BETALLX1_06,FAGGRAX3_03,4_1
QUERUB21_11,ILEMUCX1_11,HAMVIRX5_05,4_3
VIBCAS08_05,BETALL18_11,FAGGRAX1_07,4_1
FAGGRA03_06,ACESACX2_07,BETALL20_07,4_2
QUERUBX3_10,VIBCASX5_06,FAGGRA03_09,4_3
ACESAC05_09,QUERUB23_03,BETALL19_06,4_1
BETALL16_10,HAMVIRX1_11,FAGGRA10_06,4_3
ACESAC06_07,ILEMUCX1_09,HAMVIRX6_12,4_1
QUERUB19_08,HAMVIRX2_06,BETALL18_12,4_1
QUERUBX4_06,ILEMUCX3_06,BETALLX3_07,4_3
FAGGRAX3_05,ACESACX3_01,ILEMUCX5_02,4_3
BETALL22_07,HAMVIRX7_08,QUERUBX2_10,4_3
ACESAC07_11,ILEMUC03_06,HAMVIRX4_09,4_2
QUERUBX5_01,HAMVIRX1_12,ACESACX1_01,4_2
ILEMUCX2_09,QUERUB22_09,HAMVIRX4_08,4_1
ACESACX2_04,HAMVIRX8_08,FAGGRAX2_05,4_2
ILEMUCX2_02,BETALL16_09,BETALL22_10,4_3
ACESACX1_06,BETALL18_09,FAGGRA09_06,4_2
ACESAC09_01,ILEMUCX4_01,VIBCAS02_04,4_3
ILEMUCX1_05,HAMVIRX3_04,FAGGRAX2_03,4_1
ACESAC07_10,ILEMUCX3_10,FAGGRA09_01,4_1
FAGGRA02_03,BETALL20_05,QUERUB23_02,4_2
ILEMUC07_12,HAMVIRX5_03,BETALL17_04,4_1
FAGGRAX1_10,QUERUBX3_06,HAMVIRX2_12,4_1
ACESACX3_09,QUERUB22_08,HAMVIRX8_11,4_1
ILEMUC03_10,BETALL16_03,FAGGRA03_10,4_1
BETALLX3_10,BETALL19_02,HAMVIRX7_06,4_3
QUERUBX5_03,HAMVIRX7_01,FAGGRA10_05,4_1
VIBCASX5_08,HAMVIRX3_11,FAGGRA10_01,4_3
ACESAC05_05,VIBCAS01_09,BETALL22_12,4_2
QUERUB22_07,VIBCAS08_12,BETALLX1_12,4_2
BETALLX3_06,QUERUBX2_09,ACESAC99_08,4_1
ACESACX3_06,VIBCAS02_05,HAMVIRX3_07,4_3
ACESAC09_04,ILEMUC03_05,BETALL19_03,4_1
ACESAC07_03,ILEMUCX5_01,FAGGRA09_10,4_3
ACESAC99_12,VIBCAS02_02,BETALL20_06,4_3
ACESAC05_06,VIBCASX5_05,FAGGRAX2_10,4_3
FAGGRA02_08,ILEMUC08_11,QUERUBX3_02,4_1
ACESAC06_10,ILEMUC07_02,FAGGRA13_07,4_3
QUERUB19_09,ILEMUCX2_10,VIBCAS01_11,4_3
ILEMUC08_05,ILEMUCX4_03,BETALL17_10,4_1
QUERUBX5_11,HAMVIRX4_04,FAGGRA13_09,4_3
ACESAC09_10,ILEMUCX4_10,BETALL17_12,4_2
