"Order","id","sp","rep","ind","twig","Row","Col","Treat","Final.lab","chill","time","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day1","day2","day3","day","tleaf","lleaf","chillport","lday","fday","bday","nl"
1,"ACESAC07_HF_04","ACESAC","7","ACESAC07",4,3,8,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,78,NA,64,1
1,"ACESAC07_HF_05","ACESAC","7","ACESAC07",5,4,9,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,54,NA,54,1
3,"ACESAC07_HF_06","ACESAC","7","ACESAC07",6,4,5,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,NA,NA,61,0
3,"ACESAC07_HF_07","ACESAC","7","ACESAC07",7,3,3,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,78,NA,78,1
2,"ACESAC07_HF_08","ACESAC","7","ACESAC07",8,5,7,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,NA,NA,52,0
1,"ACESAC07_HF_09","ACESAC","7","ACESAC07",9,3,8,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC07_HF_10","ACESAC","7","ACESAC07",10,1,7,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,70,0
1,"ACESAC07_HF_11","ACESAC","7","ACESAC07",11,5,5,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,NA,0
1,"ACESAC07_HF_12","ACESAC","7","ACESAC07",12,2,8,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,78,NA,67,1
1,"ACESAC09_HF_01","ACESAC","9","ACESAC09",1,1,6,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,NA,NA,NA,0
1,"ACESAC09_HF_02","ACESAC","9","ACESAC09",2,6,9,"1_2",2,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,NA,NA,NA,0
1,"ACESAC09_HF_03","ACESAC","9","ACESAC09",3,1,9,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC09_HF_04","ACESAC","9","ACESAC09",4,1,2,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC09_HF_05","ACESAC","9","ACESAC09",5,4,4,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC09_HF_06","ACESAC","9","ACESAC09",6,4,4,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,NA,NA,61,0
3,"ACESAC09_HF_07","ACESAC","9","ACESAC09",7,7,7,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,21,NA,21,1
1,"ACESAC09_HF_08","ACESAC","9","ACESAC09",8,7,7,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,49,0
1,"ACESAC09_HF_09","ACESAC","9","ACESAC09",9,3,3,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,NA,NA,NA,0
1,"ACESAC09_HF_10","ACESAC","9","ACESAC09",10,5,3,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,NA,0
2,"ACESAC09_HF_11","ACESAC","9","ACESAC09",11,8,6,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,NA,0
1,"ACESAC09_HF_12","ACESAC","9","ACESAC09",12,1,4,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,NA,NA,NA,0
